Topic,Count,Name,Representation,Representative_Docs
-1,993,-1_tidak_aplikasi_bisa_ini,"['tidak', 'aplikasi', 'bisa', 'ini', 'login', 'data', 'daftar', 'ada', 'tapi', 'pengguna']","['aplikasi apa ini dapat verifikasi lewat email keterangan bisa login ternyata pas login nama pengguna password benar berkali-kali tetap saja gagal', 'tolong data jangan salah gunakan padahal dapat notifikasi email akun berhasil verifikasi tapi pas mau login tidak bisa bagaimana sih ini aplikasi', 'bikin aku baru masukkan data sampai ada tulisan nama pengguna terdaftar silakan login tapi coba login tidak bisa kata belum aktivasi cek email tidak ada email apa apa bagaimana ini data']"
0,502,0_bansos_cek_aplikasi_ini,"['bansos', 'cek', 'aplikasi', 'ini', 'ada', 'dapat', 'tidak', 'bisa', 'bantuan', 'daftar']","['kenapa cek bansos sekarang tidak bisa login', 'tolong perbaiki aplikasi cek bansos', 'kenapa aplikasi cek bansos tidak bisa buka']"
1,225,1_koneksi_jaringan_fi_wi,"['koneksi', 'jaringan', 'fi', 'wi', 'masalah', 'bagus', 'padahal', 'lancar', 'pakai', 'sinyal']","['aplikasi tidak bisa akses setiap login selalu muncul kerja masalah koneksi padahal pakai wi-fi tolong perbaiki aplikasi', 'setiap log in tidak bisa kerja kesalahan koneksi melulu padahal pakai wi-fi pakai data sama saja kerja kesalahan padahal sinyal jaringan stabil buat lain lancar tapi buat buka aplikasi ini kok tidak bisa', 'aplikasi tidak bisa buka lama menunggu tapi selalu muncul masalah koneksi masalah koneksi lagi padahal coba pakai wi-fi data lancar tolong perbaiki admin']"
2,196,2_penduduk_kartu_tanda_foto,"['penduduk', 'kartu', 'tanda', 'foto', 'swafoto', 'sesuai', 'unggah', 'data', 'isi', 'aplikasi']","['aplikasi tidak jelas ini daftar sesuai petunjuk masukkan data sesuai kartu tanda penduduk alamat lengkap dan lain-lain swafoto sama kartu tanda penduduk tapi tetap saja aplikasi tidak bisa buka menyesal takut data kartu tanda penduduk salahgunakan', 'aneh bikin akun foto kartu tanda penduduk swafoto foto tapi tidak bisa login keterangan akun tidak ditemukan padahal dapat email tolong diperbaiki lagi', 'ini bagaimana kok mau daftar akun tidak bisa bisa data diisi semua tinggal swafoto foto kartu tanda penduduk sama foto kartu tanda penduduk saja tidak bisa selalu kembali menu utama bagaimana sih']"
3,171,3_nik_terdaftar_nama_akun,"['nik', 'terdaftar', 'nama', 'akun', 'daftar', 'kata', 'baru', 'nomor', 'belum', 'mau']","['aplikasi tidak guna daftar nik ada keterangan terdaftar pas mau log in bahkan ada keterangan nik belum terdaftar', 'kenapa mau daftar akun bahkan tidak bisa tulisan terdaftar nik terdaftar juga padahal belum pernah daftar sama sekali tolong bantuan', 'aplikasi tidak jelas belum pernah daftar akun pas selesai semua dimasukkan nik nama password foto kartu tanda penduduk kartu tanda penduduk kata nik terdaftar lah kapan saja baru unduh ini aplikasi bagaimana mau masuk aplikasi ini orang baru mau daftar saja tulisan nik terdaftar aneh']"
4,132,4_password_pengguna_nama_login,"['password', 'pengguna', 'nama', 'login', 'ditemukan', 'terdaftar', 'pas', 'belum', 'daftar', 'padahal']","['kenapa setiap mau login tidak bisa selalu muncul tulisan nama pengguna password tidak ditemukan belum dilakukan aktivasi padahal daftar coba daftar ulang tidak bisa nomor nik terdaftar', 'saat daftar sesuai kartu tanda penduduk ada keterangan nama pengguna telah terdaftar silakan login tapi pas login ada keterangan nama pengguna password tidak ditemukan belum dilakukan aktivasi padahal coba beberapa kali tapi hasil masih sama saja', 'kok akun belum verifikasi kenapa ya tolong dong lama daftar tapi pas login selalu ada tulisan pengguna nama password tidak ditemukan belum dilakukan aktivasi ini bagaimana sih']"
5,111,5_buka_dibuka_bisa_kebuka,"['buka', 'dibuka', 'bisa', 'kebuka', 'hitam', 'layar', 'kenapa', 'pasang', 'aplikasi', 'tidak']","['aplikasi tidak bisa buka', 'kenapa aplikasi tidak bisa buka', 'aplikasi kenapa tidak bisa buka']"
6,105,6_provinsi_loading_pilih_error,"['provinsi', 'loading', 'pilih', 'error', 'klik', 'mau', 'bagian', 'pilihan', 'lama', 'saja']","['saja mana sih mau daftar tidak bisa masuk pilihan provinsi tolong dong dibenarkan mau daftar susah banget buka pilihan provinsi muncul tulisan error melulu', 'aplikasi tidak berguna saat mendaftar akun masuk pilih provinsi loading berjam jam bahkan tidak bisa muncul sama sekali provinsi aneh pengembang tolong perbaiki lagi aplikasi biar bermanfaat terakhir copot pemasangan', 'aplikasi tidak bisa gunakan masa pas klik provinsi tidak mau muncul tolong perbaiki']"
7,85,7_pengguna_login_nama_password,"['pengguna', 'login', 'nama', 'password', 'terdaftar', 'kata', 'jelas', 'pas', 'ditemukan', 'aplikasi']","['aplikasi tidak membantu mau login tidak bisa nama pengguna password tidak ditemukan padahal berhasil daftar', 'pas daftar berhasil giliran mau login kata pengguna password belum terdaftar pas daftar ulang kata terdaftar tinggal masuk pakai pengguna eh coba lagi masuk pakai pengguna tetap tidak bisa aneh ini aplikasi', 'aplikasi apa daftar ini itu pas giliran mau login lagi password nama pengguna salah padahal jelas jelas baru daftar aneh']"
8,84,8_verifikasi_email_menunggu_masuk,"['verifikasi', 'email', 'menunggu', 'masuk', 'belum', 'diverifikasi', 'daftar', 'terverifikasi', 'sabar', 'tapi']","['daftar mengisi data sesuai lalu mendapat email pertama isi memberitahukan telah registrasi berikut menunggu email dikirim verifikasi bisa masuk aplikasi selang menit dapat email verifikasi cakap buat baru daftar seperti harus sabar menunggu verifikasi terlebih dahulu melalui email baru bisa masuk aplikasi sering cek email kalau cuma daftar terus selesai lalu login aplikasi tidak bakal bisa masuk sebelum diaktivasi', 'mau login tidak pernah bisa kata belum verifikasi harus menunggu verifikasi email ada tapi suruh menunggu verifikasi padahal email udah ada dalam email kata aplikasis bisa gunakan tapi kok tetap tidak bisa bagaimana ini', 'data bisa masuk terdaftar tapi login menunggu verifikasi terus mau daftar baru data terdaftar login tidak bisa bisa menunggu verifikasi terus']"
